DISTRICT,length
Bagalkot,258.449474892396
Bangalore,314.17053868691596
Bangalore Rural,319.96595928075675
Belgaum,528.922540884202
Bellary,304.78952186077464
Bidar,247.3482996856689
Bijapur,424.19728089407306
Chamrajnagar,217.73725458113316
Chikkaballapura,211.9578193206551
Chikmagalur,334.4235726856803
Chitradurga,531.9324433577386
Dakshina Kannada,316.3395657503407
Davanagere,177.87740658843228
Dharwad,314.9787517810358
Gadag,111.54876750045575
Gulbarga,294.5515775089878
Hassan,436.23135570814077
Haveri,306.5827303700604
Kodagu,63.80686378233754
Kolar,221.59840584156652
Koppal,288.3587113367918
Mandya,337.5559041218465
Mysore,361.51000507096245
Raichur,167.74666901637192
Ramanagara,199.42636236769428
Shimoga,479.140994767109
Tumkur,613.177563744057
Udupi,277.33157690260043
Uttara Kannada,424.1840396680831
Yadgir,144.85832767355197
