TECTONIC SETTING,LATITUDE,LONGITUDE,LAND OR SEA,SAMPLE NAME,SIO2(WT%),TIO2(WT%),AL2O3(WT%),Fe2O3T(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),Fe2O3T,NI(PPM),CU(PPM),ZN(PPM),SC(PPM),V(PPM),CR(PPM),CO(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM)
INTRAPLATE VOLCANICS,38.0443,127.06945,SAE,s_2404 [18304],48.42,1.69,15.41,10.19,8.37,10.32,0.17,1.54,3.19,0.34,10.19,225.0,51.5,86.4,21.7,176.0,307.0,52.0,17.7,492.0,20.7,157.0,22.7,0.135,257.0,19.5,40.1,4.81,20.0,4.56,1.54,4.69,0.7390000000000001,4.27,0.8320000000000001,2.32,0.313,2.0,0.29,3.61,1.39
INTRAPLATE VOLCANICS,38.0443,127.06945,SAE,s_2603 [18304],48.21,1.91,15.58,10.36,8.44,9.28,0.17,1.68,3.09,0.38,10.36,181.0,52.8,86.9,22.2,160.0,212.0,47.9,18.5,530.0,22.2,172.0,25.9,0.314,254.0,21.3,43.8,5.2,21.4,4.89,1.65,5.1,0.8009999999999999,4.6,0.9,2.49,0.33899999999999997,2.17,0.311,3.99,1.62
INTRAPLATE VOLCANICS,38.0443,127.06945,SAE,s_2608 [18304],48.23,1.92,15.58,10.09,8.57,9.15,0.16,1.86,2.99,0.39,10.09,187.0,53.7,88.2,22.2,178.0,231.0,46.7,21.8,547.0,22.8,182.0,26.9,0.295,269.0,22.6,46.4,5.51,22.7,5.12,1.69,5.29,0.8240000000000001,4.76,0.927,2.57,0.34600000000000003,2.2,0.32,4.18,1.69
CONVERGENT MARGIN,-40.311516,-72.22397,SAE,s_FB091012-7 [19945],51.13,2.4,14.37,12.06,7.89,4.42,0.25,0.85,3.6,1.17,12.06,9.2,38.1,79.0,37.0,224.0,48.0,20.6,17.6,393.6,37.8,102.3,4.3,0.9,291.0,18.5,46.0,6.67,32.7,7.7,2.51,9.25,1.27,6.88,1.44,4.36,0.57,4.01,0.5,2.8,0.3
CONVERGENT MARGIN,-40.368158,-71.993835,SAE,s_FB151112-1 [19945],51.4,1.05,17.31,8.95,8.66,6.83,0.17,0.88,3.17,0.34,8.95,81.5,38.9,62.0,25.0,221.0,198.0,38.0,18.1,567.7,22.9,129.5,5.7,0.8,320.0,15.9,36.1,4.98,24.8,4.9,1.45,4.92,0.63,3.84,0.84,2.59,0.28,2.23,0.28,3.2,0.2
CONVERGENT MARGIN,-40.283039,-72.060194,SAE,s_FB210314-2 [19945],49.75,1.15,16.68,9.11,8.93,7.57,0.16,1.1,2.93,0.28,9.11,97.5,29.9,46.0,27.0,215.0,233.0,34.7,21.3,527.0,19.1,98.3,5.4,0.5,292.0,14.4,32.9,4.1,18.3,3.89,1.22,4.07,0.64,3.51,0.74,2.09,0.3,2.03,0.3,2.8,0.4
CONVERGENT MARGIN,-40.303784,-72.025388,SAE,s_FB210314-5 [19945],50.26,1.0,17.46,9.24,8.87,6.63,0.17,0.75,3.03,0.22,9.24,73.8,39.1,55.0,26.0,204.0,144.0,31.3,10.7,485.9,16.7,65.1,2.4,0.5,244.0,10.4,23.6,3.07,12.9,3.48,1.1,3.28,0.52,3.14,0.66,2.07,0.28,1.77,0.27,2.0,0.1
CONVERGENT MARGIN,-40.404358,-71.98895999999999,SAE,s_FB220114-6 [19945],51.79,1.04,17.26,8.72,8.36,6.22,0.16,1.04,3.19,0.34,8.72,69.4,42.7,48.0,25.0,196.0,130.0,28.0,18.3,515.4,19.3,125.1,5.4,0.8,295.0,17.2,40.2,4.9,20.2,4.55,1.4,4.18,0.66,3.88,0.81,2.09,0.32,2.18,0.33,3.2,0.3
ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),-30.82,119.52,SAE,s_KM-3 [16962],52.76,0.33,14.73,9.26,4.74,9.31,0.3,0.11,4.17,0.04,9.26,90.0,10.0,70.0,42.0,258.0,400.0,43.0,2.0,52.0,9.2,22.0,0.0,0.5,32.0,0.73,1.67,0.21,1.12,0.48,0.23399999999999999,0.93,0.2,1.52,0.35,1.09,0.17600000000000002,1.26,0.221,0.7,0.0
ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),-30.82,119.52,SAE,s_KM-9 [16962],51.85,0.49,14.36,8.94,8.73,9.64,0.09,0.1,1.89,0.05,8.94,70.0,70.0,60.0,41.0,229.0,290.0,34.0,1.0,96.0,15.0,33.0,1.0,0.1,21.0,3.6,7.87,1.01,4.74,1.43,0.5489999999999999,2.17,0.39,2.48,0.53,1.63,0.249,1.71,0.29100000000000004,1.0,0.36
