日期,最高气温,最低气温,天气,风向,风力
2011/1/1,19,10,多云,无持续风向,微风
2011/1/2,19,11,多云,无持续风向,微风
2011/1/3,18,12,多云,无持续风向,微风
2011/1/4,19,8,小雨,无持续风向,微风
2011/1/5,16,9,多云,无持续风向转北风,微风转3-4级
2011/1/6,16,9,晴,无持续风向,微风
2011/1/7,18,10,多云,无持续风向,微风
2011/1/8,16,9,多云,无持续风向,微风
2011/1/9,12,6,阵雨,无持续风向,微风
2011/1/10,9,6,小到中雨转小雨,无持续风向,微风
2011/1/11,10,8,阵雨,无持续风向,微风
2011/1/12,14,7,小雨,无持续风向,微风
2011/1/13,15,10,阵雨转阴,无持续风向,微风
2011/1/14,12,5,多云,东北风,3-4级
2011/1/15,14,9,晴转多云,无持续风向,微风
2011/1/16,14,5,多云转阴,无持续风向,微风
2011/1/26,16,9,多云,无持续风向,微风
2011/1/29,13,5,多云,北风,3-4级
2011/1/30,14,5,多云,北风,3-4级
2011/1/31,16,8,晴转多云,无持续风向,微风
2011/2/1,17,8,多云,无持续风向,微风
2011/2/2,18,10,多云,无持续风向,微风
2011/2/3,21,11,多云,无持续风向,微风
2011/2/4,23,9,晴转多云,无持续风向,微风
2011/2/5,25,10,晴,无持续风向,微风
2011/2/6,25,11,晴转多云,无持续风向,微风
2011/2/7,26,14,多云,无持续风向,微风
2011/2/8,26,13,多云,无持续风向,微风
2011/2/9,24,15,多云,无持续风向,微风
2011/2/10,26,12,多云转小雨,无持续风向,微风
2011/2/11,15,10,阴,北风,3-4级
2011/2/12,14,9,阴转小雨,无持续风向,微风
2011/2/13,10,6,中雨转小雨,无持续风向,微风
2011/2/14,14,7,阴,无持续风向,微风
2011/2/15,9,6,小雨,无持续风向,微风
2011/2/16,11,9,小雨转阴,无持续风向,微风
2011/2/17,14,9,雾,无持续风向,微风
2011/2/18,14,10,阴转小雨,无持续风向,微风
2011/2/19,10,8,小雨,无持续风向,微风
2011/2/20,15,10,阴,无持续风向,微风
2011/2/21,17,14,阴转多云,无持续风向,微风
